Model,Target,scaler,Feat Selection,Type,Num of Features,Train_R2_CV,Adj_Train_R2_CV,Val_R2_CV,Adj_Val_R2_CV,Train_RMSE_CV,Val_RMSE_CV,R2(All_X),Adj_R2(All_X),rmse(All_X)
LinearRegression,cesdtotmA,RobustScaler,PCA,All_data,28,,,,,,,0.5490444920209202,0.4785675941824436,0.12080358649432087
LinearRegression,cesdtotmA,RobustScaler,FDR,CV,28,0.6272185927988713,0.45359110502587163,-51.136953658895116,5.57790521651821,0.10940505691193521,0.5107858233649536,,,
LinearRegression,cesdtotmA,RobustScaler,FDR,All_data,28,,,,,,,0.5490444920209202,0.4785675941824436,0.12080358649432087
LinearRegression,cesdtotmA,RobustScaler,Lasso,CV,28,0.6272185927988713,0.45359110502587163,-51.136953658895116,5.57790521651821,0.10940505691193521,0.5107858233649536,,,
LinearRegression,cesdtotmA,RobustScaler,Lasso,All_data,28,,,,,,,0.5490444920209202,0.4785675941824436,0.12080358649432087
HuberRegressor,DERStotmA,StandardScaler,PCA,CV,42,0.6124070317642459,1.1792285546136205,-4.270062840968958,1.714739836958825,0.15471762440806597,0.4794828262709764,,,
HuberRegressor,DERStotmA,StandardScaler,PCA,All_data,42,,,,,,,0.3810489468769218,1.2025244713606245,0.18801542132001062
HuberRegressor,DERStotmA,StandardScaler,FDR,CV,42,0.6124070317642459,1.1792285546136205,-4.270062840968958,1.714739836958825,0.15471762440806597,0.4794828262709764,,,
HuberRegressor,DERStotmA,StandardScaler,FDR,All_data,42,,,,,,,0.3810489468769218,1.2025244713606245,0.18801542132001062
HuberRegressor,DERStotmA,StandardScaler,Lasso,CV,42,0.6124070317642459,1.1792285546136205,-4.270062840968958,1.714739836958825,0.15471762440806597,0.4794828262709764,,,
HuberRegressor,DERStotmA,StandardScaler,Lasso,All_data,42,,,,,,,0.3810489468769218,1.2025244713606245,0.18801542132001062
HuberRegressor,DERStotmA,RobustScaler,PCA,CV,41,0.5814747406991733,1.1952440368299897,-4.56321841249726,1.8071649705003048,0.16726855883144673,0.4841309545404155,,,
HuberRegressor,DERStotmA,RobustScaler,PCA,All_data,41,,,,,,,0.3810489468769218,1.2025244713606245,0.18801542132001062
HuberRegressor,DERStotmA,RobustScaler,FDR,CV,41,0.5814747406991733,1.1952440368299897,-4.56321841249726,1.8071649705003048,0.16726855883144673,0.4841309545404155,,,
HuberRegressor,DERStotmA,RobustScaler,FDR,All_data,41,,,,,,,0.3810489468769218,1.2025244713606245,0.18801542132001062
HuberRegressor,DERStotmA,RobustScaler,Lasso,CV,41,0.5814747406991733,1.1952440368299897,-4.56321841249726,1.8071649705003048,0.16726855883144673,0.4841309545404155,,,
HuberRegressor,DERStotmA,RobustScaler,Lasso,All_data,41,,,,,,,0.3810489468769218,1.2025244713606245,0.18801542132001062
HuberRegressor,psatotmA,StandardScaler,PCA,CV,22,0.4766806200854871,0.33847547542428486,-21.341385836909595,-inf,0.11640803915652079,0.24761142733827926,,,
HuberRegressor,psatotmA,StandardScaler,PCA,All_data,22,,,,,,,0.3562708860067005,0.3173130984881312,0.12312797256239212
HuberRegressor,psatotmA,StandardScaler,FDR,CV,22,0.4766806200854871,0.33847547542428486,-21.341385836909595,-inf,0.11640803915652079,0.24761142733827926,,,
HuberRegressor,psatotmA,StandardScaler,FDR,All_data,22,,,,,,,0.3562708860067005,0.3173130984881312,0.12312797256239212
HuberRegressor,psatotmA,StandardScaler,Lasso,CV,22,0.4766806200854871,0.33847547542428486,-21.341385836909595,-inf,0.11640803915652079,0.24761142733827926,,,
HuberRegressor,psatotmA,StandardScaler,Lasso,All_data,22,,,,,,,0.3562708860067005,0.3173130984881312,0.12312797256239212
HuberRegressor,psatotmA,RobustScaler,PCA,CV,20,0.48476008412032867,0.4538072824749208,-19.89158440175532,-inf,0.11807206915767951,0.2431985483212252,,,
HuberRegressor,psatotmA,RobustScaler,PCA,All_data,20,,,,,,,0.3562708860067005,0.3173130984881312,0.12312797256239212
