Model,Target,scaler,Feat Selection,Type,Num of Features,Train_R2_CV,Adj_Train_R2_CV,Val_R2_CV,Adj_Val_R2_CV,Train_RMSE_CV,Val_RMSE_CV,R2(All_X),Adj_R2(All_X),rmse(All_X)
LinearRegression,DERSstgmA,RobustScaler,FDR,All_data,22,,,,,,,0.4443067317092302,0.4210077796282152,0.149394152066187
LinearRegression,DERSstgmA,RobustScaler,Lasso,CV,22,0.5672491228865332,0.40803752218178624,-3.6084291893760234,1.370522318221745,0.13369843888044525,0.3921632062688006,,,
LinearRegression,DERSstgmA,RobustScaler,Lasso,All_data,22,,,,,,,0.4443067317092302,0.4210077796282152,0.149394152066187
LinearRegression,DERSimpmA,StandardScaler,PCA,CV,48,0.7904710174918079,0.7395747951321731,-77.49894280183766,5.258819941841458,0.07310923436189253,1.0862220910725109,,,
LinearRegression,DERSimpmA,StandardScaler,PCA,All_data,48,,,,,,,0.677515871017602,0.6703495570402153,0.0852201113864215
LinearRegression,DERSimpmA,StandardScaler,FDR,CV,48,0.7904710174918079,0.7395747951321731,-77.49894280183766,5.258819941841458,0.07310923436189253,1.0862220910725109,,,
LinearRegression,DERSimpmA,StandardScaler,FDR,All_data,48,,,,,,,0.677515871017602,0.6703495570402153,0.0852201113864215
LinearRegression,DERSimpmA,StandardScaler,Lasso,CV,48,0.7904710174918079,0.7395747951321731,-77.49894280183766,5.258819941841458,0.07310923436189253,1.0862220910725109,,,
LinearRegression,DERSimpmA,StandardScaler,Lasso,All_data,48,,,,,,,0.677515871017602,0.6703495570402153,0.0852201113864215
LinearRegression,DERSimpmA,RobustScaler,PCA,CV,45,0.7792852677077383,0.7386704044539433,-86.11758494365678,6.424540741914994,0.07491493800760501,1.1271499829485512,,,
LinearRegression,DERSimpmA,RobustScaler,PCA,All_data,45,,,,,,,0.677515871017602,0.6703495570402153,0.0852201113864215
LinearRegression,DERSimpmA,RobustScaler,FDR,CV,45,0.7792852677077383,0.7386704044539433,-86.11758494365678,6.424540741914994,0.07491493800760501,1.1271499829485512,,,
LinearRegression,DERSimpmA,RobustScaler,FDR,All_data,45,,,,,,,0.677515871017602,0.6703495570402153,0.0852201113864215
LinearRegression,DERSimpmA,RobustScaler,Lasso,CV,45,0.7792852677077383,0.7386704044539433,-86.11758494365678,6.424540741914994,0.07491493800760501,1.1271499829485512,,,
LinearRegression,DERSimpmA,RobustScaler,Lasso,All_data,45,,,,,,,0.677515871017602,0.6703495570402153,0.0852201113864215
LinearRegression,DERSawmA,StandardScaler,PCA,CV,21,0.5198549062918769,0.3162748124662623,-19.366584901244696,-inf,0.11714915073108347,0.44419956747605605,,,
LinearRegression,DERSawmA,StandardScaler,PCA,All_data,21,,,,,,,0.444889440828699,0.37374169173679084,0.12304868115366428
LinearRegression,DERSawmA,StandardScaler,FDR,CV,21,0.5198549062918769,0.3162748124662623,-19.366584901244696,-inf,0.11714915073108347,0.44419956747605605,,,
LinearRegression,DERSawmA,StandardScaler,FDR,All_data,21,,,,,,,0.444889440828699,0.37374169173679084,0.12304868115366428
LinearRegression,DERSawmA,StandardScaler,Lasso,CV,21,0.5198549062918769,0.3162748124662623,-19.366584901244696,-inf,0.11714915073108347,0.44419956747605605,,,
LinearRegression,DERSawmA,StandardScaler,Lasso,All_data,21,,,,,,,0.444889440828699,0.37374169173679084,0.12304868115366428
LinearRegression,DERSawmA,RobustScaler,PCA,CV,21,0.49388705630389057,0.32892667002052384,-88.37748536864926,-inf,0.11846633295287574,0.6472820707459609,,,
LinearRegression,DERSawmA,RobustScaler,PCA,All_data,21,,,,,,,0.444889440828699,0.37374169173679084,0.12304868115366428
LinearRegression,DERSawmA,RobustScaler,FDR,CV,21,0.49388705630389057,0.32892667002052384,-88.37748536864926,-inf,0.11846633295287574,0.6472820707459609,,,
LinearRegression,DERSawmA,RobustScaler,FDR,All_data,21,,,,,,,0.444889440828699,0.37374169173679084,0.12304868115366428
LinearRegression,DERSawmA,RobustScaler,Lasso,CV,21,0.49388705630389057,0.32892667002052384,-88.37748536864926,-inf,0.11846633295287574,0.6472820707459609,,,
LinearRegression,DERSawmA,RobustScaler,Lasso,All_data,21,,,,,,,0.444889440828699,0.37374169173679084,0.12304868115366428
